country_name,year,fatalities,prop_discriminated,urban_share,democracy,polarization,gdppc,pop,timeindep
Afghanistan,2001,5553,0.469,0.21596,0,1.570362143023964,766.1419000000002,20.53116,81.99997972433374
Afghanistan,2002,1157,0,0.21914999999999998,0,1.2874444729675072,1063.6360000000004,21.487079999999995,82.99994955289773
Afghanistan,2003,944,0,0.22236999999999998,0,1.5179445462107006,1099.1939999999997,22.507369999999998,84.00001689716338
Afghanistan,2004,817,0,0.22562000000000001,0,1.8775461057208804,1062.2490000000005,23.499849999999995,84.99997819832602
Afghanistan,2005,1711,0,0.22895,0,1.3802992004124797,1136.1230000000005,24.399950000000004,85.99997452220214
Albania,2001,0,0,0.42435,1,1.3565873849620693,6176.370999999999,3.060173,88.00001632591938
Albania,2002,0,0,0.4350100000000001,1,1.1513852965523534,6457.049999999995,3.0510100000000002,88.9999670938456
Albania,2003,0,0,0.44573,1,1.3764504513260234,6855.449000000007,3.0396160000000005,90.00002967028104
Albania,2004,0,0,0.45651,1,0.3504350348196714,7277.214999999995,3.026939,90.99995390697832
Albania,2005,0,0,0.46731,1,0.04651752782161348,7733.007000000001,3.0114869999999994,92.00003891149653
Algeria,2001,674,0,0.60712,0,0.8778413146826998,10382.189999999995,31.590320000000006,39.00001380094624
Algeria,2002,1058,0,0.6150100000000002,0,1.6336052446780052,10826.49,31.990390000000005,39.999981835446675
Algeria,2003,714,0,0.62284,0,0.8132210090097878,11459.890000000001,32.39489,40.999997265123476
Algeria,2004,500,0,0.6306100000000001,0,1.7318953170196036,11797.180000000011,32.81723,42.00001603210159
Algeria,2005,232,0,0.6383,0,1.3977444869739002,12322.480000000007,33.26789,42.99999502517711
Andorra,2001,0,0,0.63043,0,0.2475401174876885,11040.59000000001,25.515789999999996,36.00000221558012
Andorra,2002,0,0,0.63043,0,0.09590359171414514,11040.59000000001,25.515789999999996,36.00000221558012
Andorra,2003,0,0,0.63043,0,0.1377652465159376,11040.59000000001,25.515789999999996,36.00000221558012
Andorra,2004,0,0,0.63043,0,0.31695655029854736,11040.59000000001,25.515789999999996,36.00000221558012
Andorra,2005,0,0,0.63043,0,0.31301530353600854,11040.59000000001,25.515789999999996,36.00000221558012
Angola,2001,2154,0.47,0.33152000000000004,0,1.1314821222651004,2898.4279999999994,15.56279,25.999986011445234
Angola,2002,578,0.47,0.33895000000000003,0,1.7452299346063287,3184.0209999999975,16.109699999999997,27.000003617883362
Angola,2003,81,0,0.34645000000000004,0,1.0240752666646151,3213.6769999999988,16.69139,28.00001371509765
Angola,2004,49,0,0.35405000000000003,0,1.5166018390153884,3418.3250000000007,17.2955,29.000004930392674
Angola,2005,11,0,0.36168999999999996,0,1.1083645765511854,3987.815,17.91294,29.999988550137516
Antigua and Barbuda,2001,0,0,0.63043,0,0.04563859396564308,11040.59000000001,25.515789999999996,36.00000221558012
Antigua and Barbuda,2002,0,0,0.63043,0,0.21898659385921895,11040.59000000001,25.515789999999996,36.00000221558012
Antigua and Barbuda,2003,0,0,0.63043,0,0.09908401901634642,11040.59000000001,25.515789999999996,36.00000221558012
Antigua and Barbuda,2004,0,0,0.63043,0,0.16049687618070746,11040.59000000001,25.515789999999996,36.00000221558012
Antigua and Barbuda,2005,0,0,0.63043,0,0.13501295628270366,11040.59000000001,25.515789999999996,36.00000221558012
Argentina,2001,0,0,0.8932899999999999,1,0.180146723009306,14085.580000000009,37.47153000000001,186.00006068935448
Argentina,2002,0,0,0.8951899999999998,1,0.9684282011461888,12412.61,37.88944,187.00007164820602
Argentina,2003,0,0,0.8970999999999999,1,0.7851181006640894,13361.400000000005,38.30947000000001,188.00000698796973
Argentina,2004,0,0,0.89899,1,0.49513777374582135,14410.150000000009,38.72878000000001,188.99999715372763
Argentina,2005,0,0,0.9008400000000001,1,0.6660428713515866,15518.679999999997,39.14549000000001,189.99998628950806
Armenia,2001,0,0,0.64385,0,0.13524946293066023,3224.1409999999987,3.060036,9.999999070059587
Armenia,2002,0,0,0.64283,0,0.0802190241880226,3669.443000000002,3.047249,10.999996999218334
Armenia,2003,0,0,0.6425,0,0.31798842208110734,4206.975000000002,3.0364200000000006,12.000004202544735
Armenia,2004,0,0,0.64217,0,0.005733906581671908,4673.985,3.025982,13.000008353002707
Armenia,2005,1,0,0.64184,0,1.5057311591142974,5356.614000000002,3.0149170000000005,13.999995385387143
Australia,2001,0,0,0.8737799999999999,1,0.9090805370218819,35578.64000000002,19.413000000000004,99.99998140119244
Australia,2002,0,0,0.87541,1,0.19506666170879733,36553.95999999998,19.6514,100.9999477990463
Australia,2003,0,0,0.8769499999999999,1,1.0257391632773099,37183.67999999999,19.8954,102.00001904500628
Australia,2004,0,0,0.8784899999999998,1,0.38608580825043387,38225.700000000004,20.1274,103.00000121234753
Australia,2005,0,0,0.88,1,0.7381552082300187,38928.04000000002,20.394800000000004,104.00001048929792
Austria,2001,0,0,0.65801,1,0.2044689821092109,39186.34000000002,8.042292999999997,82.99994955289773
Austria,2002,0,0,0.65806,1,1.0167884550400779,39638.030000000035,8.081957,84.00001689716338
Austria,2003,0,0,0.6581199999999999,1,1.1140546386643873,39816.77000000002,8.121423,84.99997819832602
Austria,2004,0,0,0.65818,1,0.2732054398929328,40652.810000000005,8.171966000000001,85.99997452220214
Austria,2005,0,0,0.6582399999999999,1,1.1728847264712305,41282.88000000001,8.227829,86.99998967705181
Azerbaijan,2001,6,0,0.51587,0,1.861192732100701,4862.619000000002,8.1112,9.999999070059587
